source,target,type,weight
122,1,spatial,0.0
122,2,spatial,0.0
122,3,spatial,0.0
122,4,spatial,0.0
122,5,spatial,0.0
122,6,spatial,0.0
122,7,spatial,0.0
123,0,spatial,0.0
123,1,spatial,0.0
123,2,spatial,0.0
123,3,spatial,0.0
123,4,spatial,0.0
123,5,spatial,0.0
123,6,spatial,0.0
123,7,spatial,0.0
124,0,spatial,0.0
124,1,spatial,0.0
124,2,spatial,0.0
124,3,spatial,0.0
124,4,spatial,0.0
124,5,spatial,0.0
124,6,spatial,0.0
124,7,spatial,0.0
125,0,spatial,0.0
125,1,spatial,0.0
125,2,spatial,0.0
125,3,spatial,0.0
125,4,spatial,0.0
125,5,spatial,0.0
125,6,spatial,0.0
125,7,spatial,0.0
126,0,spatial,0.0
126,1,spatial,0.0
126,2,spatial,0.0
126,3,spatial,0.0
126,4,spatial,0.0
126,5,spatial,0.0
126,6,spatial,0.0
126,7,spatial,0.0
127,0,spatial,0.0
127,1,spatial,0.0
127,2,spatial,0.0
127,3,spatial,0.0
127,4,spatial,0.0
127,5,spatial,0.0
127,6,spatial,0.0
127,7,spatial,0.0
128,0,spatial,0.0
128,1,spatial,0.0
128,2,spatial,0.0
128,3,spatial,0.0
128,4,spatial,0.0
128,5,spatial,0.0
128,6,spatial,0.0
128,7,spatial,0.0
129,0,spatial,0.0
129,1,spatial,0.0
129,2,spatial,0.0
129,3,spatial,0.0
129,4,spatial,0.0
129,5,spatial,0.0
129,6,spatial,0.0
129,7,spatial,0.0
130,0,spatial,0.0
130,1,spatial,0.0
130,2,spatial,0.0
130,3,spatial,0.0
130,4,spatial,0.0
130,5,spatial,0.0
130,6,spatial,0.0
130,7,spatial,0.0
131,0,spatial,0.0
131,1,spatial,0.0
131,2,spatial,0.0
131,3,spatial,0.0
131,4,spatial,0.0
131,5,spatial,0.0
131,6,spatial,0.0
131,7,spatial,0.0
132,0,spatial,0.0
132,1,spatial,0.0
132,2,spatial,0.0
